Year,Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Profits,Assets
2015,251,ADP,http://www.adp.com,57000,Business Services,Diversified Outsourcing Services,"Roseland, NJ",1 ADP Blvd.,Roseland,NJ,7068,973-974-5000,Carlos A. Rodriguez,"President, Chief Executive Officer & Director","1 ADP Blvd., Roseland, NJ 07068",ADP,ADP,11668,43670,1493
2017,292,Advance Auto Parts,http://www.advanceautoparts.com,57500,Retailing,Specialty Retailers: Other,"Roanoke, VA",5008 Airport Rd.,Roanoke,VA,24012,540-362-4911,Thomas R. Greco,"President, Chief Executive Officer & Director","5008 Airport Rd., Roanoke, VA 24012",AAP,"Advance Auto Parts, Inc.",9568,459.6,8315
2015,294,Advance Auto Parts,http://www.advanceautoparts.com,57500,Retailing,Specialty Retailers: Other,"Roanoke, VA",5008 Airport Rd.,Roanoke,VA,24012,540-362-4911,Thomas R. Greco,"President, Chief Executive Officer & Director","5008 Airport Rd., Roanoke, VA 24012",AAP,Advance Auto Parts,9568,8315,460
2017,161,AECOM,http://www.aecom.com,87000,Engineering & Construction,"Engineering, Construction","Los Angeles, CA",1999 Ave. of the Stars,Los Angeles,CA,90067,213-593-8000,Michael S. Burke,Chairman & Chief Executive Officer,"1999 Ave. of the Stars, Los Angeles, CA 90067",ACM,AECOM,17411,96.1,13727
2015,343,AECOM,http://www.aecom.com,87000,Engineering & Construction,"Engineering, Construction","Los Angeles, CA",1999 Ave. of the Stars,Los Angeles,CA,90067,213-593-8000,Michael S. Burke,Chairman & Chief Executive Officer,"1999 Ave. of the Stars, Los Angeles, CA 90067",ACM,AECOM,17411,13727,96
2017,194,AES,http://www.aes.com,19000,Energy,Utilities: Gas and Electric,"Arlington, VA",4300 Wilson Blvd.,Arlington,VA,22203,703-522-1315,Andres R. Gluski,"President, Chief Executive Officer & Director","4300 Wilson Blvd., Arlington, VA 22203",AES,The AES Corporation,14287,-1130,36119
2015,178,AES,http://www.aes.com,19000,Energy,Utilities: Gas and Electric,"Arlington, VA",4300 Wilson Blvd.,Arlington,VA,22203,703-522-1315,Andres R. Gluski,"President, Chief Executive Officer & Director","4300 Wilson Blvd., Arlington, VA 22203",AES,AES,13586,36119,-1130
2017,43,Aetna,http://www.aetna.com,49500,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",151 Farmington Ave.,Hartford,CT,6156,860-273-0123,Mark T. Bertolini,Chairman & Chief Executive Officer,"151 Farmington Ave., Hartford, CT 06156",AET,Aetna Inc.,63155,2271,69146
2015,49,Aetna,http://www.aetna.com,49500,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",151 Farmington Ave.,Hartford,CT,6156,860-273-0123,Mark T. Bertolini,Chairman & Chief Executive Officer,"151 Farmington Ave., Hartford, CT 06156",AET,Aetna,63155,69146,2271
2017,126,Aflac,http://www.aflac.com,10212,Financials,"Insurance: Life, Health (Stock)","Columbus, GA",1932 Wynnton Rd.,Columbus,GA,31999,706-323-3431,Daniel P. Amos,Chairman & Chief Executive Officer,"1932 Wynnton Rd., Columbus, GA 31999",AFL,Aflac Incorporated,22559,2659,129819
2015,132,Aflac,http://www.aflac.com,10212,Financials,"Insurance: Life, Health (Stock)","Columbus, GA",1932 Wynnton Rd.,Columbus,GA,31999,706-323-3431,Daniel P. Amos,Chairman & Chief Executive Officer,"1932 Wynnton Rd., Columbus, GA 31999",AFL,Aflac,22559,129819,2659
2017,370,AGCO,http://www.agcocorp.com,19795,Industrials,Construction and Farm Machinery,"Duluth, GA",4205 River Green Pkwy.,Duluth,GA,30096,770-813-9200,Martin H. Richenhagen,"Chairman, President & Chief Executive Officer","4205 River Green Pkwy., Duluth, GA 30096",AGCO,AGCO Corporation,7411,160.1,7168
2015,296,AGCO,http://www.agcocorp.com,19795,Industrials,Construction and Farm Machinery,"Duluth, GA",4205 River Green Pkwy.,Duluth,GA,30096,770-813-9200,Martin H. Richenhagen,"Chairman, President & Chief Executive Officer","4205 River Green Pkwy., Duluth, GA 30096",AGCO,AGCO,7411,7168,160
2017,55,AIG,http://www.aig.com,56400,Financials,Insurance: Property and Casualty (Stock),"New York, NY",175 Water St.,New York,NY,10038,212-770-7000,Brian Duperreault,"President, Chief Executive Officer & Director","175 Water St., New York, NY 10038",AIG,"American International Group, Inc.",52367,-849,498264
2015,46,AIG,http://www.aig.com,56400,Financials,Insurance: Property and Casualty (Stock),"New York, NY",175 Water St.,New York,NY,10038,212-770-7000,Brian Duperreault,"President, Chief Executive Officer & Director","175 Water St., New York, NY 10038",AIG,AIG,52367,498264,-849
2017,294,Air Products & Chemicals,http://www.airproducts.com,18450,Chemicals,Chemicals,"Allentown, PA",7201 Hamilton Blvd.,Allentown,PA,18195,610-481-4911,Seifi Ghasemi,"Chairman, President & Chief Executive Officer","7201 Hamilton Blvd., Allentown, PA 18195",APD,"Air Products & Chemicals, Inc.",9524,631.1,18055
2015,284,Air Products & Chemicals,http://www.airproducts.com,18450,Chemicals,Chemicals,"Allentown, PA",7201 Hamilton Blvd.,Allentown,PA,18195,610-481-4911,Seifi Ghasemi,"Chairman, President & Chief Executive Officer","7201 Hamilton Blvd., Allentown, PA 18195",APD,Air Products & Chemicals,9524,18055,631
2017,489,Airgas,http://www.airgas.com,17000,Wholesalers,Wholesalers: Diversified,"Radnor, PA",259 N. Radnor-Chester Rd.,Radnor,PA,19087,610-687-5253,John J. Christmann IV,Chief Executive Officer & Director,"259 N. Radnor-Chester Rd., Radnor, PA 19087",APA,"Airgas, Inc.",5314,337.5,6135
2017,441,AK Steel Holding,http://www.aksteel.com,8500,Materials,Metals,"West Chester, OH",9227 Centre Pointe Dr.,West Chester,OH,45069,513-425-5000,Roger K. Newport,Chief Executive Officer & Director,"9227 Centre Pointe Dr., West Chester, OH 45069",AKS,AK Steel Holding Corporation,5883,-7.8,4036
2015,415,AK Steel Holding,http://www.aksteel.com,8500,Materials,Metals,"West Chester, OH",9227 Centre Pointe Dr.,West Chester,OH,45069,513-425-5000,Roger K. Newport,Chief Executive Officer & Director,"9227 Centre Pointe Dr., West Chester, OH 45069",AKS,AK Steel Holding,5883,4036,-8
2017,438,Alaska Air Group,http://www.alaskaair.com,19112,Transportation,Airlines,"Seattle, WA",19300 International Blvd.,Seattle,WA,98188,206-392-5040,Bradley D. Tilden,"Chairman, President & Chief Executive Officer","19300 International Blvd., Seattle, WA 98188",ALK,"Alaska Air Group, Inc.",5931,814,9962
2015,484,Alaska Air Group,http://www.alaskaair.com,19112,Transportation,Airlines,"Seattle, WA",19300 International Blvd.,Seattle,WA,98188,206-392-5040,Bradley D. Tilden,"Chairman, President & Chief Executive Officer","19300 International Blvd., Seattle, WA 98188",ALK,Alaska Air Group,5931,9962,814
2017,49,Albertsons Cos.,http://www.albertsons.com,274000,Food & Drug Stores,Food and Drug Stores,"Boise, ID",250 Parkcenter Blvd.,Boise,ID,83706,208-395-6200,Robert G. Miller,Chairman & Chief Executive Officer,"250 Parkcenter Blvd., Boise, ID 83706",PRU,"Albertsons Companies, Inc.",58734,-502.2,23770
2017,300,Alcoa,http://www.alcoa.com,14000,Materials,Metals,"New York, NY",390 Park Ave.,New York,NY,10022,212-518-5400,Roy C. Harvey,Chief Executive Officer & Director,"390 Park Ave., New York, NY 10022",AA,Alcoa Corporation,9318,-400,16741
2017,428,Alleghany,http://www.alleghany.com,3420,Financials,Insurance: Property and Casualty (Stock),"New York, NY",1411 Broadway,New York,NY,10018,212-752-1356,Weston M. Hicks,"President, Chief Executive Officer & Director","1411 Broadway, New York, NY 10018",Y,Alleghany Corporation,6131,456.9,23757
2015,499,Alleghany,http://www.alleghany.com,3420,Financials,Insurance: Property and Casualty (Stock),"New York, NY",1411 Broadway,New York,NY,10018,212-752-1356,Weston M. Hicks,"President, Chief Executive Officer & Director","1411 Broadway, New York, NY 10018",Y,Alleghany,10771,16889,-477
2017,378,Alliance Data Systems,http://www.alliancedata.com,17000,Business Services,Financial Data Services,"Plano, TX",7500 Dallas Pkwy.,Plano,TX,75024,214-494-3000,Edward J. Heffernan,"President, Chief Executive Officer & Director","7500 Dallas Pkwy., Plano, TX 75024",ADS,Alliance Data Systems Corporation,7138,515.8,25514
2015,494,Alliance Data Systems,http://www.alliancedata.com,17000,Business Services,Financial Data Services,"Plano, TX",7500 Dallas Pkwy.,Plano,TX,75024,214-494-3000,Edward J. Heffernan,"President, Chief Executive Officer & Director","7500 Dallas Pkwy., Plano, TX 75024",ADS,Alliance Data Systems,7138,25514,516
2017,84,Allstate,http://www.allstate.com,43275,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",2775 Sanders Rd.,Northbrook,IL,60062,847-402-5000,Thomas J. Wilson,Chairman & Chief Executive Officer,"2775 Sanders Rd., Northbrook, IL 60062",ALL,The Allstate Corporation,36534,1877,108610
2015,89,Allstate,http://www.allstate.com,43275,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",2775 Sanders Rd.,Northbrook,IL,60062,847-402-5000,Thomas J. Wilson,Chairman & Chief Executive Officer,"2775 Sanders Rd., Northbrook, IL 60062",ALL,Allstate,36534,108610,1877
2017,286,Ally Financial,http://www.ally.com,7600,Financials,Diversified Financials,"Detroit, MI",500 Woodward Ave.,Detroit,MI,48226,866-710-4623,Jeffrey J. Brown,Chief Executive Officer & Director,"500 Woodward Ave., Detroit, MI 48226",ALLY,Ally Financial Inc.,9835,1067,163728
2017,27,Alphabet,http://www.abc.xyz,72053,Technology,Internet Services and Retailing,"Mountain View, CA",1600 Amphitheatre Pkwy.,Mountain View,CA,94043,650-253-0000,Larry Page,Chief Executive Officer & Director,"1600 Amphitheatre Pkwy., Mountain View, CA 94043",GOOGL,Alphabet Inc.,90272,19478,167497
2015,40,Alphabet,http://www.abc.xyz,72053,Technology,Internet Services and Retailing,"Mountain View, CA",1600 Amphitheatre Pkwy.,Mountain View,CA,94043,650-253-0000,Larry Page,Chief Executive Officer & Director,"1600 Amphitheatre Pkwy., Mountain View, CA 94043",GOOGL,Alphabet,90272,167497,19478
2017,148,Altria Group,http://www.altria.com,8300,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",6601 W. Broad St.,Richmond,VA,23230,804-274-2200,Martin J. Barrington,"Chairman, President & Chief Executive Officer","6601 W. Broad St., Richmond, VA 23230",MO,"Altria Group, Inc.",19337,14239,45932
2015,169,Altria Group,http://www.altria.com,8300,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",6601 W. Broad St.,Richmond,VA,23230,804-274-2200,Martin J. Barrington,"Chairman, President & Chief Executive Officer","6601 W. Broad St., Richmond, VA 23230",MO,Altria Group,25744,45932,14239
2017,395,A-Mark Precious Metals,http://www.amark.com,83,Materials,Miscellaneous,"Santa Monica, CA",429 Santa Monica Blvd.,Santa Monica,CA,90401,310-587-1477,Gregory N. Roberts,Chief Executive Officer & Director,"429 Santa Monica Blvd., Santa Monica, CA 90401",AMRK,"A-Mark Precious Metals, Inc.",6784,9.3,437
2015,444,A-Mark Precious Metals,http://www.amark.com,83,Materials,Miscellaneous,"Santa Monica, CA",429 Santa Monica Blvd.,Santa Monica,CA,90401,310-587-1477,Gregory N. Roberts,Chief Executive Officer & Director,"429 Santa Monica Blvd., Santa Monica, CA 90401",AMRK,A-Mark Precious Metals,6784,437,9
2017,12,Amazon.com,http://www.amazon.com,341400,Technology,Internet Services and Retailing,"Seattle, WA",410 Terry Ave. N.,Seattle,WA,98109,206-266-1000,Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer","410 Terry Ave. N., Seattle, WA 98109",AMZN,"Amazon.com, Inc.",135987,2371,83402
2015,29,Amazon.com,http://www.amazon.com,341400,Technology,Internet Services and Retailing,"Seattle, WA",410 Terry Ave. N.,Seattle,WA,98109,206-266-1000,Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer","410 Terry Ave. N., Seattle, WA 98109",AMZN,Amazon.com,135987,83402,2371
2017,431,Ameren,http://www.ameren.com,8629,Energy,Utilities: Gas and Electric,"St. Louis, MO",1901 Chouteau Ave.,St. Louis,MO,63103,314-621-3222,Warner L. Baxter,"Chairman, President & Chief Executive Officer","1901 Chouteau Ave., St. Louis, MO 63103",AEE,Ameren Corporation,6076,653,24699
2015,438,Ameren,http://www.ameren.com,8629,Energy,Utilities: Gas and Electric,"St. Louis, MO",1901 Chouteau Ave.,St. Louis,MO,63103,314-621-3222,Warner L. Baxter,"Chairman, President & Chief Executive Officer","1901 Chouteau Ave., St. Louis, MO 63103",AEE,Ameren,6076,24699,659
2017,67,American Airlines Group,http://www.aa.com,122300,Transportation,Airlines,"Fort Worth, TX",4333 Amon Carter Blvd.,Fort Worth,TX,76155,817-963-1234,W. Douglas Parker,Chairman & Chief Executive Officer,"4333 Amon Carter Blvd., Fort Worth, TX 76155",AAL,American Airlines Group Inc.,40180,2676,51274
2015,70,American Airlines Group,http://www.aa.com,122300,Transportation,Airlines,"Fort Worth, TX",4333 Amon Carter Blvd.,Fort Worth,TX,76155,817-963-1234,W. Douglas Parker,Chairman & Chief Executive Officer,"4333 Amon Carter Blvd., Fort Worth, TX 76155",AAL,American Airlines Group,40180,51274,2676
2017,167,American Electric Power,http://www.aep.com,17634,Energy,Utilities: Gas and Electric,"Columbus, OH",1 Riverside Plaza,Columbus,OH,43215,614-716-1000,Nicholas K. Akins,"Chairman, President & Chief Executive Officer","1 Riverside Plaza, Columbus, OH 43215",AEP,"American Electric Power Company, Inc.",16380,610.9,63468
2015,184,American Electric Power,http://www.aep.com,17634,Energy,Utilities: Gas and Electric,"Columbus, OH",1 Riverside Plaza,Columbus,OH,43215,614-716-1000,Nicholas K. Akins,"Chairman, President & Chief Executive Officer","1 Riverside Plaza, Columbus, OH 43215",AEP,American Electric Power,16380,63468,611
2017,86,American Express,http://www.americanexpress.com,56400,Financials,Diversified Financials,"New York, NY",200 Vesey St.,New York,NY,10285,212-640-2000,Kenneth I. Chenault,Chairman & Chief Executive Officer,"200 Vesey St., New York, NY 10285",AXP,American Express Company,33823,5408,158893
2017,315,American Family Insurance Group,http://www.amfam.com,10471,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",6000 American Pkwy.,Madison,WI,53783,608-249-2111,Jack C. Salzwedel,Chairman & Chief Executive Officer,"6000 American Pkwy., Madison, WI 53783",NFLX,American Family Insurance Group,8829,325.6,22662
2015,358,American Family Insurance Group,http://www.amfam.com,10471,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",6000 American Pkwy.,Madison,WI,53783,608-249-2111,Jack C. Salzwedel,Chairman & Chief Executive Officer,"6000 American Pkwy., Madison, WI 53783",NFLX,American Family Insurance Group,8831,13587,187
2017,411,American Financial Group,http://www.afginc.com,7600,Financials,Insurance: Property and Casualty (Stock),"Cincinnati, OH",301 E. Fourth St.,Cincinnati,OH,45202,513-579-2121,"Carl H. Lindner lll, S. Craig Lindner","Co-President, Co-Chief Executive Officer & Director","301 E. Fourth St., Cincinnati, OH 45202",AFG,"American Financial Group, Inc.",6498,649,55072
2015,459,American Financial Group,http://www.afginc.com,7600,Financials,Insurance: Property and Casualty (Stock),"Cincinnati, OH",301 E. Fourth St.,Cincinnati,OH,45202,513-579-2121,"Carl H. Lindner lll, S. Craig Lindner","Co-President, Co-Chief Executive Officer & Director","301 E. Fourth St., Cincinnati, OH 45202",AFG,American Financial Group,6498,55072,649
2017,449,American Tower,http://www.americantower.com,4507,Telecommunications,Telecommunications,"Boston, MA",116 Huntington Ave.,Boston,MA,2116,617-375-7500,James D. Taiclet Jr.,"Chairman, President & Chief Executive Officer","116 Huntington Ave., Boston, MA 02116",AMT,American Tower Corporation,5786,956.4,30879
2017,239,Ameriprise Financial,http://www.ameriprise.com,13195,Financials,Diversified Financials,"Minneapolis, MN",55 Ameriprise Financial Center,Minneapolis,MN,55474,612-671-3131,James M. Cracchiolo,Chairman & Chief Executive Officer,"55 Ameriprise Financial Center, Minneapolis, MN 55474",AMP,"Ameriprise Financial, Inc.",11735,1314,139821
2015,247,Ameriprise Financial,http://www.ameriprise.com,13195,Financials,Diversified Financials,"Minneapolis, MN",55 Ameriprise Financial Center,Minneapolis,MN,55474,612-671-3131,James M. Cracchiolo,Chairman & Chief Executive Officer,"55 Ameriprise Financial Center, Minneapolis, MN 55474",AMP,Ameriprise Financial,11735,139821,1314
2017,11,AmerisourceBergen,http://www.amerisourcebergen.com,18500,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA",1300 Morris Dr.,Chesterbrook,PA,19087,610-727-7000,Steven H. Collis,"Chairman, President & Chief Executive Officer","1300 Morris Dr., Chesterbrook, PA 19087",ABC,AmerisourceBergen Corp.,146850,1427.9,33656
2015,16,AmerisourceBergen,http://www.amerisourcebergen.com,18500,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA",1300 Morris Dr.,Chesterbrook,PA,19087,610-727-7000,Steven H. Collis,"Chairman, President & Chief Executive Officer","1300 Morris Dr., Chesterbrook, PA 19087",ABC,AmerisourceBergen,146850,33656,1428
2017,123,Amgen,http://www.amgen.com,19200,Health Care,Pharmaceuticals,"Thousand Oaks, CA",1 Amgen Center Dr.,Thousand Oaks,CA,91320,805-447-1000,Robert A. Bradway,Chairman & Chief Executive Officer,"1 Amgen Center Dr., Thousand Oaks, CA 91320",AMGN,Amgen Inc.,22991,7722,77626
2015,145,Amgen,http://www.amgen.com,19200,Health Care,Pharmaceuticals,"Thousand Oaks, CA",1 Amgen Center Dr.,Thousand Oaks,CA,91320,805-447-1000,Robert A. Bradway,Chairman & Chief Executive Officer,"1 Amgen Center Dr., Thousand Oaks, CA 91320",AMGN,Amgen,22991,77626,7722
2017,424,Amphenol,http://www.amphenol.com,62000,Technology,Network and Other Communications Equipment,"Wallingford, CT",358 Hall Ave.,Wallingford,CT,6492,203-265-8900,R. Adam Norwitt,"President, Chief Executive Officer & Director","358 Hall Ave., Wallingford, CT 06492",APH,Amphenol Corporation,6286,822.9,8499
2015,487,Amphenol,http://www.amphenol.com,62000,Technology,Network and Other Communications Equipment,"Wallingford, CT",358 Hall Ave.,Wallingford,CT,6492,203-265-8900,R. Adam Norwitt,"President, Chief Executive Officer & Director","358 Hall Ave., Wallingford, CT 06492",APH,Amphenol,6286,8499,823
2017,475,AmTrust Financial Services,http://www.amtrustgroup.com,8000,Financials,Insurance: Property and Casualty (Stock),"New York, NY",59 Maiden Lane,New York,NY,10038,212-220-7120,Barry D. Zyskind,"Chairman, President & Chief Executive Officer","59 Maiden Lane, New York, NY 10038",AFSI,"AmTrust Financial Services, Inc.",5451,411,22615
2017,344,Anadarko Petroleum,http://www.anadarko.com,4500,Energy,"Mining, Crude-Oil Production","The Woodlands, TX",1201 Lake Robbins Dr.,The Woodlands,TX,77380,832-636-1000,R. A. Walker,"Chairman, President & Chief Executive Officer","1201 Lake Robbins Dr., The Woodlands, TX 77380",APC,Anadarko Petroleum Corporation,7869,-3071,45564
2015,162,Anadarko Petroleum,http://www.anadarko.com,4500,Energy,"Mining, Crude-Oil Production","The Woodlands, TX",1201 Lake Robbins Dr.,The Woodlands,TX,77380,832-636-1000,R. A. Walker,"Chairman, President & Chief Executive Officer","1201 Lake Robbins Dr., The Woodlands, TX 77380",APC,Anadarko Petroleum,7869,45564,-3071
2017,359,Anixter International,http://www.anixter.com,8900,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, IL",2301 Patriot Blvd.,Glenview,IL,60026,224-521-8000,Robert J. Eck,"President, Chief Executive Officer & Director","2301 Patriot Blvd., Glenview, IL 60026",AXE,Anixter International Inc.,7625,120.5,4094
2015,420,Anixter International,http://www.anixter.com,8900,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, IL",2301 Patriot Blvd.,Glenview,IL,60026,224-521-8000,Robert J. Eck,"President, Chief Executive Officer & Director","2301 Patriot Blvd., Glenview, IL 60026",AXE,Anixter International,7623,4094,121
2017,29,Anthem,http://www.antheminc.com,53000,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",120 Monument Circle,Indianapolis,IN,46204,317-488-6000,Joseph R. Swedish,"Chairman, President & Chief Executive Officer","120 Monument Circle, Indianapolis, IN 46204",ANTM,"Anthem, Inc.",84863,2469.8,65083
2015,38,Anthem,http://www.antheminc.com,53000,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",120 Monument Circle,Indianapolis,IN,46204,317-488-6000,Joseph R. Swedish,"Chairman, President & Chief Executive Officer","120 Monument Circle, Indianapolis, IN 46204",ANTM,Anthem,84863,65083,2470
2017,488,Apache,http://www.apachecorp.com,3727,Energy,"Mining, Crude-Oil Production","Houston, TX",2000 Post Oak Blvd.,Houston,TX,77056,713-296-6000,John J. Christmann IV,"President, Chief Executive Officer & Director","2000 Post Oak Blvd., Houston, TX 77056",APA,Apache Corporation,5354,-1405,22519
2015,218,Apache,http://www.apachecorp.com,3727,Energy,"Mining, Crude-Oil Production","Houston, TX",2000 Post Oak Blvd.,Houston,TX,77056,713-296-6000,John J. Christmann IV,"President, Chief Executive Officer & Director","2000 Post Oak Blvd., Houston, TX 77056",APA,Apache,5367,22519,-1405
2017,3,Apple,http://www.apple.com,116000,Technology,"Computers, Office Equipment","Cupertino, CA",1 Infinite Loop,Cupertino,CA,95014,408-996-1010,Timothy D. Cook,Chief Executive Officer & Director,"1 Infinite Loop, Cupertino, CA 95014",AAPL,"Apple, Inc.",215639,45687,321686
2015,5,Apple,http://www.apple.com,116000,Technology,"Computers, Office Equipment","Cupertino, CA",1 Infinite Loop,Cupertino,CA,95014,408-996-1010,Timothy D. Cook,Chief Executive Officer & Director,"1 Infinite Loop, Cupertino, CA 95014",AAPL,Apple,9568,8315,460
2017,265,Applied Materials,http://www.appliedmaterials.com,16150,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",3050 Bowers Ave.,Santa Clara,CA,95054,408-727-5555,Gary E. Dickerson,"President, Chief Executive Officer & Director","3050 Bowers Ave., Santa Clara, CA 95054",AMAT,"Applied Materials, Inc.",10825,1721,14588
2015,319,Applied Materials,http://www.appliedmaterials.com,16150,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",3050 Bowers Ave.,Santa Clara,CA,95054,408-727-5555,Gary E. Dickerson,"President, Chief Executive Officer & Director","3050 Bowers Ave., Santa Clara, CA 95054",AMAT,Applied Materials,10825,14588,1721
2017,192,Aramark,http://www.aramark.com,217250,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",1101 Market St.,Philadelphia,PA,19107,215-238-3000,Eric J. Foss,"Chairman, President & Chief Executive Officer","1101 Market St., Philadelphia, PA 19107",ARMK,Aramark,14416,287.8,10582
2015,207,Aramark,http://www.aramark.com,217250,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",1101 Market St.,Philadelphia,PA,19107,215-238-3000,Eric J. Foss,"Chairman, President & Chief Executive Officer","1101 Market St., Philadelphia, PA 19107",ARMK,Aramark,14416,10582,288
2017,45,Archer Daniels Midland,http://www.adm.com,31800,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",77 W. Wacker Dr.,Chicago,IL,60601,312-634-8100,Juan R. Luciano,"Chairman, President & Chief Executive Officer","77 W. Wacker Dr., Chicago, IL 60601",ADM,Archer-Daniels-Midland Company,62346,1279,39769
2015,34,Archer Daniels Midland,http://www.adm.com,31800,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",77 W. Wacker Dr.,Chicago,IL,60601,312-634-8100,Juan R. Luciano,"Chairman, President & Chief Executive Officer","77 W. Wacker Dr., Chicago, IL 60601",ADM,Archer Daniels Midland,62346,39769,1279
2017,228,Arconic,http://www.arconic.com,41500,Aerospace & Defense,Aerospace and Defense,"New York, NY",390 Park Ave.,New York,NY,10022,212-836-2758,David P. Hess,Interim Chief Executive Officer & Director,"390 Park Ave., New York, NY 10022",ARNC,Arconic Inc.,12394,-941,20038
2017,118,Arrow Electronics,http://www.arrow.com,18700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",9201 E. Dry Creek Rd.,Centennial,CO,80112,303-824-4000,Michael J. Long,"Chairman, President & Chief Executive Officer","9201 E. Dry Creek Rd., Centennial, CO 80112",ARW,"Arrow Electronics, Inc",23825,522.8,14206
2015,131,Arrow Electronics,http://www.arrow.com,18700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",9201 E. Dry Creek Rd.,Centennial,CO,80112,303-824-4000,Michael J. Long,"Chairman, President & Chief Executive Officer","9201 E. Dry Creek Rd., Centennial, CO 80112",ARW,Arrow Electronics,23825,14206,523
